ORIGINAL_TITLE,PLOT
Between the World and Me,"The special will include powerful readings from Ta-Nehisi Coates' book, it will also incorporate documentary footage from the actors' home life, archival footage, and animation."
The Day Sports Stood Still,How Covid-19 changed college and professional sports and how professional players began publicly arguing for social justice and police reform in the wake of several instances of police killing unarmed black people. Features mostly NBA personnel.
Katmai: Journey to the Volcano,"Jack and Colton trudge through miles upon miles of volcanic ash and forge a treacherous river in search of one of the most powerful volcanoes on earth. Oh, and they are on constant alert for brown bears too."
Episode #29.3,"Freddie, Chris and Paddy head to Cyprus on a budget rental car adventure, and sample the exciting new sport of car water-skiing. Back at the test track, Chris and Paddy sample the latest family cars from Audi and Lamborghini."
Top Ten Monks,"A small group of Cistercian monks in Austria made music history recently when their album of Gregorian chant climbed England's pop charts, landing in the Top Ten for two months and selling more than a million copies worldwide. This documentary takes an unprecedented look at the daily lives of these unlikely celebrities, who rarely allow cameras inside their walls."
The Great Return,"Host Jeff Corwin travels to Kodiak Island off the coast of Alaska to witness millions of salmon returning back to the freshwater streams where they were born. Jeff participates in cutting-edge field research on adult salmon and helps scientists as they study the links between salmon and their environment. Jeff also travels into the Alaskan wilderness to explore salmon as a vital food source for Kodiak bears, bald eagles, and people too."
Episode #3.14,"[HBO] HD. In this edition: interview with Melinda Gates; documentary on Trump campaign flags, boats and bikinis; a conversation with Matthew Desmond."
Children of God: Lost and Found,A first-person account of growing up in an evangelical Christian cult.
The Wire,Ambra Gutierrez reveals the high-stakes police sting operation that captured a chilling admission from Harvey Weinstein--and her plan to preserve the evidence after authorities declined to prosecute.
Necessary Evil: Super-Villains of DC Comics,"A documentary detailing the epic Rogues' Gallery of DC Comics from The Joker and Lex Luthor, Sinestro, Darkseid and more, this documentary will explore the Super Villains of DC Comics."
The Iceman Tapes: Conversations with a Killer,"Richard Kuklinski was a devoted husband, loving father--and ruthless killer of over 100 people. You'll meet him in this powerful documentary that features one of the most vivid and disturbing interviews ever recorded--taped behind the walls of the prison where Kuklinski is serving two consecutive life sentences for multiple homicide."
Seattle,Bourdain immerses himself in the boom or bust city of Seattle.
The Arrest,"Years of unsuccessful searches have left the Bible and the Freeman families in despair. After a new sheriff takes over the investigation, the case is blown wide open when he discovers a box of evidence."
The Golden Age,"From the 1930s through the 1950s, Hollywood studios create the most iconic and beloved films of all time, and America falls in love with the movies as stars like Bogie, Brando and Marilyn became icons."
Church Lady,A gruesome find in a small town church sends investigators searching for a killer.
The Fire,"On the night of December 30, 1999 a fire rips through the Freeman family home. Four people are in the house that night, but only two bodies are found. Investigators discover that there's much more to the story than they first thought."
Blade of Betrayal,"The tapestry of a picture-perfect New York family begins to unravel as the wealthy matriarch of the clan is found viciously murdered. Everything is not as it appears as detectives delve into the twists and turns of the crime scene, evidence and the back story of this well-to-do home."
Kenny Smith: The Role Player,"Everyone has a role on Inside the NBA. From analyst Kenny Smith to off-camera figures who make the show unique, an idea can come from anywhere."
Everything Is Copy,A look at the life and work of writer/filmmaker Nora Ephron.
The Secret Lives of Snow Leopards,"Often referred to as the gray ghost or ghost of the mountains, this animal's rarity and elusiveness was legendary. In the past, it was known as the ounce, but today we've settled on the name snow leopard."
What Killed Heath Ledger?,Heath Ledger's death is examined.
Three Days of Terror: The Charlie Hebdo Attacks,"Three Days of Terror: The Charlie Hebdo Attacks examines the 2015 terrorist attack on the French satirical weekly newspaper ""Charlie Hebdo"" where a group of armed Islamic terrorist with rifles and other weapons attack and killed twelve people and injured eleven others in Paris, France."
Shelter,"Three children, ages 8 to 10, and their families try to keep their dreams alive while navigating housing insecurity in Los Angeles."
Closing in on The Golden State Killer: Part 2,"Now that the police have their man, investigators delve into the history if the killer and the investigation, including interviews with people who knew him."
Episode #3.17,[HBO] HD. In this edition: Congresswoman Ilhan Omar (D-MN); Senator Ted Cruz (R-TX); American biochemist Jennifer Doudna.
The Woodstock Bus,Where's the Woodstock Bus now? A journey into ""Finding The Light"". Enjoy traveling into a world of art and humor restoring a timeless vehicle.
Sins of the Father,"Lisa Ling investigates sexual assault survivors who are fighting in court to deny the men that raped them, visitation with their child."
