VALUE,PLOT
Reality-TV,"The guys attempt to make train travel cheaper, faster and more interesting by replacing the conventional carriages and locomotive with a series of caravans attached to a specially modified car. It's either the world's most ingenious idea or the prelude to the world's biggest accident. Jeremy is also out on the track comparing the rip-snorting Jaguar XKR-S to the recently updated Nissan GT-R."
Talk-Show,"The guys attempt to make train travel cheaper, faster and more interesting by replacing the conventional carriages and locomotive with a series of caravans attached to a specially modified car. It's either the world's most ingenious idea or the prelude to the world's biggest accident. Jeremy is also out on the track comparing the rip-snorting Jaguar XKR-S to the recently updated Nissan GT-R."
Drama,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.
Sport,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.
History,Jimmy Carter's election to the presidency of the United States in 1977 was helped by the links that this fan of pop music had with stars.
Music,Jimmy Carter's election to the presidency of the United States in 1977 was helped by the links that this fan of pop music had with stars.
Sport,A documentary on the 1928 Olympic Games in Amsterdam.
Short,Host Jeff Corwin boards a fishing boat on the hunt for Alaskan Salmon. Jeff works with the crew to haul in the massive catch while learning about sustainable fishing and wildlife management. Jeff also travels to coast of New England where biologists are racing to manage the Blue Fin Tuna populations of the Atlantic Ocean.
Adventure,Host Jeff Corwin boards a fishing boat on the hunt for Alaskan Salmon. Jeff works with the crew to haul in the massive catch while learning about sustainable fishing and wildlife management. Jeff also travels to coast of New England where biologists are racing to manage the Blue Fin Tuna populations of the Atlantic Ocean.
Family,Host Jeff Corwin boards a fishing boat on the hunt for Alaskan Salmon. Jeff works with the crew to haul in the massive catch while learning about sustainable fishing and wildlife management. Jeff also travels to coast of New England where biologists are racing to manage the Blue Fin Tuna populations of the Atlantic Ocean.
Short,"Robert De Niro, Sr., was a celebrated painter obscured by the pop-art movement. His life and career are chronicled in the artist's own words by his contemporaries and, movingly, by his son, the actor Robert De Niro."
Comedy,"A down-on-her-luck paparazzo goes undercover to expose a rock star hiding out in Australia. When she unexpectedly falls for him and discovers his secret, she must decide what's more important, the story or her heart. her heart."
Romance,"A down-on-her-luck paparazzo goes undercover to expose a rock star hiding out in Australia. When she unexpectedly falls for him and discovers his secret, she must decide what's more important, the story or her heart. her heart."
Family,"Host Mo Rocca shows us: Glasses that allow the Colorblind to see color. The computerized farmer for your garden. The device that cancels out the snoring sound. And, how ribbons of glass illuminated history."
History,Russia 1917. Tsar Nicholas II is the first Emperor to fall as a result of the war. Will the Russian revolution mean an end to their involvement? A new German offensive could pull the United States into the conflict and fuel the flames of war.
War,Russia 1917. Tsar Nicholas II is the first Emperor to fall as a result of the war. Will the Russian revolution mean an end to their involvement? A new German offensive could pull the United States into the conflict and fuel the flames of war.
Crime,"Bonnie Nettles and Marshall Applewhite begin to recruit individuals interested in end-of-the-world Christianity, new age religion, and UFOs - but the disappearance of new members soon drives media attention and family concerns."
Adventure,"In this episode, Bourdain visits the suburb of Hillbrow (which remains a dangerous locale), spends a day in the life of a taxi driver and discovers the culture and food that make up modern day Johannesburg."
History,"Using extensive interviews with survivors and archival footage, an examination reveals the aftermath of the atomic bombing of Hiroshima and Nagasaki."
Crime,"By 1980, citizens take matters into their own hands. When a volunteer search party finds a slain child in an area local police canvassed a day earlier, the FBI is called in. But even the Feds seem to make little headway, and conspiracy theories abound. We learn more about Wayne Williams, a local talent scout, who might have been recruiting some of the victims."
History,"The counterculture shapes the youth of America thanks in great part to a changing morality, including views towards sex, the use of drugs and a new found expressiveness through music."
Adventure,"Jeremy Clarkson and James May investigate a type of tall hatchback called a 'crossover'. Since these cars are designed for caravanners, the pair pick examples from Mazda and Volkswagen and spend a couple of days living in them. Meanwhile, Richard Hammond is in Italy driving a Â£2m, 570 horsepower Sesto Elemento. Plus, Aerosmith legend Steven Tyler is the rock star in the Reasonably Priced Car."
Comedy,"Jeremy Clarkson and James May investigate a type of tall hatchback called a 'crossover'. Since these cars are designed for caravanners, the pair pick examples from Mazda and Volkswagen and spend a couple of days living in them. Meanwhile, Richard Hammond is in Italy driving a Â£2m, 570 horsepower Sesto Elemento. Plus, Aerosmith legend Steven Tyler is the rock star in the Reasonably Priced Car."
Reality-TV,"Jeremy Clarkson and James May investigate a type of tall hatchback called a 'crossover'. Since these cars are designed for caravanners, the pair pick examples from Mazda and Volkswagen and spend a couple of days living in them. Meanwhile, Richard Hammond is in Italy driving a Â£2m, 570 horsepower Sesto Elemento. Plus, Aerosmith legend Steven Tyler is the rock star in the Reasonably Priced Car."
Talk-Show,"Jeremy Clarkson and James May investigate a type of tall hatchback called a 'crossover'. Since these cars are designed for caravanners, the pair pick examples from Mazda and Volkswagen and spend a couple of days living in them. Meanwhile, Richard Hammond is in Italy driving a Â£2m, 570 horsepower Sesto Elemento. Plus, Aerosmith legend Steven Tyler is the rock star in the Reasonably Priced Car."
